data;estado;cidade;tipo_local;confirmados;obitos;ultimo_registro;populacao_estimativa;city_ibge_code;confirmados_por_100k;taxa_mortalidade
2022-03-27;SE;;state;325274;6309;True;2318822;28;14027,55365;0,0194
2022-03-26;SE;;state;325084;6307;False;2318822;28;14019,35983;0,0194
2022-03-25;SE;;state;324903;6305;False;2318822;28;14011,55414;0,0194
2022-03-24;SE;;state;324711;6304;False;2318822;28;14003,27408;0,0194
2022-03-23;SE;;state;324533;6303;False;2318822;28;13995,59776;0,0194
2022-03-22;SE;;state;324337;6301;False;2318822;28;13987,1452;0,0194
2022-03-21;SE;;state;324155;6299;False;2318822;28;13979,29638;0,0194
2022-03-20;SE;;state;323933;6297;False;2318822;28;13969,72256;0,0194
2022-03-19;SE;;state;323755;6297;False;2318822;28;13962,04625;0,0194
2022-03-18;SE;;state;323565;6297;False;2318822;28;13953,85243;0,0195
2022-03-17;SE;;state;323380;6295;False;2318822;28;13945,87424;0,0195
2022-03-16;SE;;state;323187;6292;False;2318822;28;13937,55105;0,0195
2022-03-15;SE;;state;322987;6290;False;2318822;28;13928,92598;0,0195
2022-03-14;SE;;state;322803;6288;False;2318822;28;13920,99092;0,0195
2022-03-13;SE;;state;322586;6287;False;2318822;28;13911,63272;0,0195
2022-03-12;SE;;state;322383;6284;False;2318822;28;13902,87827;0,0195
2022-03-11;SE;;state;322179;6281;False;2318822;28;13894,0807;0,0195
2022-03-10;SE;;state;322025;6279;False;2318822;28;13887,4394;0,0195
2022-03-09;SE;;state;321838;6276;False;2318822;28;13879,37496;0,0195
2022-03-08;SE;;state;321671;6273;False;2318822;28;13872,17303;0,0195
2022-03-07;SE;;state;321496;6270;False;2318822;28;13864,62609;0,0195
2022-03-06;SE;;state;321313;6268;False;2318822;28;13856,73415;0,0195
2022-03-05;SE;;state;321161;6266;False;2318822;28;13850,1791;0,0195
2022-03-04;SE;;state;321030;6265;False;2318822;28;13844,52968;0,0195
2022-03-03;SE;;state;320867;6261;False;2318822;28;13837,50025;0,0195
2022-03-02;SE;;state;320700;6258;False;2318822;28;13830,29832;0,0195
2022-03-01;SE;;state;320577;6254;False;2318822;28;13824,9939;0,0195
2022-02-28;SE;;state;320478;6250;False;2318822;28;13820,72449;0,0195
2022-02-27;SE;;state;320389;6247;False;2318822;28;13816,88633;0,0195
2022-02-26;SE;;state;320273;6244;False;2318822;28;13811,88379;0,0195
2022-02-25;SE;;state;320125;6240;False;2318822;28;13805,50124;0,0195
2022-02-24;SE;;state;319923;6237;False;2318822;28;13796,78992;0,0195
2022-02-23;SE;;state;319775;6234;False;2318822;28;13790,40737;0,0195
2022-02-22;SE;;state;319379;6230;False;2318822;28;13773,32973;0,0195
2022-02-21;SE;;state;318846;6223;False;2318822;28;13750,34392;0,0195
