data,municipio,casos_novos,obitos_novos,vacinados_novos,casos_acumulados,obitos_acumulados,vacinados_acumulados
2024-08-01,Aracaju,7,1,0,7,1,8907
2024-08-02,Aracaju,7,0,0,14,1,8907
2024-08-03,Aracaju,8,1,6,22,2,8913
2024-08-04,Aracaju,8,0,4,30,2,8917
2024-08-05,Aracaju,10,1,1,40,3,8918
2024-08-06,Aracaju,13,1,6,53,4,8924
2024-08-07,Aracaju,1,0,2,54,4,8926
2024-08-08,Aracaju,6,0,5,60,4,8931
2024-08-09,Aracaju,6,0,8,66,4,8939
2024-08-10,Aracaju,7,0,2,73,4,8941
2024-08-11,Aracaju,6,0,5,79,4,8946
2024-08-12,Aracaju,6,0,7,85,4,8953
2024-08-13,Aracaju,15,0,3,100,4,8956
2024-08-14,Aracaju,0,1,6,100,5,8962
2024-08-15,Aracaju,17,1,8,117,6,8970
2024-08-16,Aracaju,5,1,3,122,7,8973
2024-08-17,Aracaju,15,1,7,137,8,8980
2024-08-18,Aracaju,7,1,6,144,9,8986
2024-08-19,Aracaju,4,0,7,148,9,8993
2024-08-20,Aracaju,17,0,1,165,9,8994
2024-08-21,Aracaju,9,1,8,174,10,9002
2024-08-22,Aracaju,7,1,0,181,11,9002
2024-08-23,Aracaju,6,1,6,187,12,9008
2024-08-24,Aracaju,9,0,5,196,12,9013
2024-08-25,Aracaju,3,0,4,199,12,9017
2024-08-26,Aracaju,15,2,5,214,14,9022
2024-08-27,Aracaju,10,0,2,224,14,9024
2024-08-28,Aracaju,1,1,1,225,15,9025
2024-08-29,Aracaju,14,0,6,239,15,9031
2024-08-30,Aracaju,7,1,3,246,16,9034
2024-08-31,Aracaju,8,0,6,254,16,9040
2024-09-01,Aracaju,11,0,4,265,16,9044
2024-09-02,Aracaju,5,1,4,270,17,9048
2024-09-03,Aracaju,8,0,8,278,17,9056
2024-09-04,Aracaju,15,0,1,293,17,9057
2024-09-05,Aracaju,8,0,4,301,17,9061
2024-09-06,Aracaju,9,1,10,310,18,9071
2024-09-07,Aracaju,15,1,17,325,19,9088
2024-09-08,Aracaju,16,1,12,341,20,9100
2024-09-09,Aracaju,19,1,0,360,21,9100
2024-09-10,Aracaju,11,1,4,371,22,9104
2024-09-11,Aracaju,10,0,9,381,22,9113
2024-09-12,Aracaju,10,0,0,391,22,9113
2024-09-13,Aracaju,16,1,4,407,23,9117
2024-09-14,Aracaju,8,1,0,415,24,9117
2024-09-15,Aracaju,6,1,1,421,25,9118
2024-09-16,Aracaju,15,0,8,436,25,9126
2024-09-17,Aracaju,7,1,0,443,26,9126
2024-09-18,Aracaju,17,0,0,460,26,9126
2024-09-19,Aracaju,15,1,2,475,27,9128
2024-09-20,Aracaju,9,0,1,484,27,9129
2024-09-21,Aracaju,5,0,8,489,27,9137
2024-09-22,Aracaju,11,1,7,500,28,9144
2024-09-23,Aracaju,9,1,6,509,29,9150
2024-09-24,Aracaju,13,0,4,522,29,9154
2024-09-25,Aracaju,16,0,3,538,29,9157
2024-09-26,Aracaju,18,1,0,556,30,9157
2024-09-27,Aracaju,4,0,0,560,30,9157
